deviceID,timestamp,x,y,width,height
0a-92-5e-29-ec-a2,20200109T000021+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T000526+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T001031+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T001535+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T002039+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T002544+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T003049+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T003554+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T004059+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T004604+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T005108+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T005613+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T010118+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T010623+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T011128+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T011633+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T012137+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T012642+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T013147+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T013651+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T014156+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T014701+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T015205+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T015710+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T020215+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T020719+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T021224+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T021729+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T022233+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T022738+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T023243+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T023747+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T024251+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T024756+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T025300+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T025805+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T030310+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T030814+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T031319+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T031824+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T032329+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T032833+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T033338+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T033843+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T034347+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T034852+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T035357+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T035902+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T040406+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T040911+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T041415+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T041920+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T042425+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T042929+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T043433+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T043938+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T044442+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T044947+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T045452+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T045956+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T050501+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T051006+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T051511+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T052016+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T052520+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T053025+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T053531+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T054037+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T054543+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T055049+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T055555+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T060100+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T060607+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T061112+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T061618+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T062124+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T062629+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T063135+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T063641+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T064147+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T064652+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T065157+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T065703+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T070208+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T070715+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T071221+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T071726+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T072232+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T072738+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T073243+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T073749+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T074255+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T074801+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T075307+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T075813+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T080319+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T080824+0900,660,388,125,125
0a-92-5e-29-ec-a2,20200109T081330+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T081836+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T082341+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T082847+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T083353+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T083858+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T084404+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T084910+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T085416+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T085922+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T090427+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T090933+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T091439+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T091944+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T092449+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T092954+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T093500+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T094004+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T094510+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T095015+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T095520+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T100025+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T100531+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T101036+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T101541+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T102046+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T102551+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T103056+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T103602+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T104107+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T104612+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T105118+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T105623+0900,0,0,125,125
0a-92-5e-29-ec-a2,20200109T110128+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T110634+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T111140+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T111646+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T112152+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T112657+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T113202+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T113708+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T114213+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T114719+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T115225+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T115730+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T120236+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T120742+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T121248+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T121753+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T122259+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T122805+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T123311+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T123817+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T124322+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T124828+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T125333+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T125838+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T130344+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T130849+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T131354+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T131900+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T132405+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T132910+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T133416+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T133921+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T134427+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T134932+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T135438+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T135944+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T140449+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T140955+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T141501+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T142007+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T142512+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T143018+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T143524+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T144029+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T144535+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T145041+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T145546+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T150052+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T150558+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T151103+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T151609+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T152115+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T152620+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T153126+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T153632+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T154138+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T154643+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T155149+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T155655+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T160201+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T160707+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T161213+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T161719+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T162225+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T162730+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T163236+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T163741+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T164245+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T164750+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T165254+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T165758+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T170303+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T170807+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T171312+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T171816+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T172321+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T172826+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T173330+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T173835+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T174339+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T174843+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T175348+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T175852+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T180356+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T180901+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T181405+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T181910+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T182414+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T182919+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T183423+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T183928+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T184432+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T184936+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T185441+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T185945+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T190449+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T190954+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T191458+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T192003+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T192507+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T193012+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T193517+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T194020+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T194525+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T195029+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T195533+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T200038+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T200543+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T201047+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T201552+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T202056+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T202600+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T203105+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T203609+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T204113+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T204618+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T205122+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T205626+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T210131+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T210635+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T211140+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T211644+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T212149+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T212654+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T213157+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T213702+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T214206+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T214710+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T215215+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T215719+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T220224+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T220728+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T221233+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T221737+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T222242+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T222746+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T223250+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T223755+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T224259+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T224803+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T225308+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T225812+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T230317+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T230822+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T231326+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T231831+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T232335+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T232839+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T233344+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T233848+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T234352+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T234857+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T235401+0900,625,364,125,125
0a-92-5e-29-ec-a2,20200109T235906+0900,625,364,125,125
